,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 3
7,Resort Expert,Level 1
8,Restaurant Expert ,Level 14
9,Attraction Expert,Level 8
10,Senior Reviewer,5 Reviews
11,Junior Photographer,5 Photos
12,Helpful Reviewer,5 Votes
13,Helpful Reviewer,10 Votes
14,Readership,500 Readers
15,Readership,"1,000 Readers"
16,Contributor,10 Reviews
17,Photographer,10 Photos
18,Explorer,4 Reviews
19,Senior Contributor,20 Reviews
20,Senior Photographer,20 Photos
21,Passport,43 Cities
22,Readership,"5,000 Readers"
23,Top Contributor,50 Reviews
24,Expert Photographer,50 Photos
25,Readership,"10,000 Readers"
26,Readership,"15,000 Readers"
27,Readership,"20,000 Readers"
28,Readership,"25,000 Readers"
29,Readership,"30,000 Readers"
30,Readership,"35,000 Readers"
31,Readership,"40,000 Readers"
32,Readership,"45,000 Readers"
33,Readership,"50,000 Readers"
34,Readership,"55,000 Readers"
35,Readership,"60,000 Readers"
36,Readership,"65,000 Readers"
37,Readership,"70,000 Readers"
